decoded_relative_path,source_relative_path,decode_status,actual_bytes,output_sha256,notes
data/decoded_model_outputs/rf9612a/statistics,model_setup/bethesda_slate/rf9612a/statistics.Z,partial,1226,219aaff7557d343f97351c94526df70c76728ff06ebba598b8fdb8f594706f43,stage 1 unix_compress_lzw: partial: compress invalid code 852 with table end 680
data/decoded_model_outputs/rf9612a/turnvols.in,model_setup/bethesda_slate/rf9612a/turnvols.in.Z,partial,3575,aedfad45c9c37bdcd6ee8d91e4901326f06bb8ffdaba98e4f2f905e45f242ab6,stage 1 unix_compress_lzw: partial: compress invalid code 1488 with table end 1215
data/decoded_model_outputs/rf9613a/d231.in,model_setup/bethesda_slate/rf9613a/d231.in.Z,partial,3928,ec00e78e8b66ab034d702b2ac21dbca608f8873540b9b4224972cac647ab5fc6,stage 1 unix_compress_lzw: partial: compress invalid code 1468 with table end 1313
data/decoded_model_outputs/rf9613a/d231.out,model_setup/bethesda_slate/rf9613a/d231.out.Z,partial,9770,abc5869db98ef3145c5c49ea4c8bbfb8f9c3f73463bd6fd0b09c139711399eaa,stage 1 unix_compress_lzw: partial: compress invalid code 3394 with table end 2649
data/decoded_model_outputs/rf9613a/plt.vcr9613,model_setup/bethesda_slate/rf9613a/plt.vcr9613.Z,partial,133,c3080c7bc7f6ef7ad27d8718547aa9a07d3c2c600cf99e58e74125c5532b5ca1,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
data/decoded_model_outputs/rf9613a/rep.521dd,model_setup/bethesda_slate/rf9613a/rep.521dd.Z,partial,973,364b6d1ca0256753e4040e4490110db47ca7556775be89aa372fd946e7a9ea20,stage 1 unix_compress_lzw: partial: compress invalid code 843 with table end 716
data/decoded_model_outputs/rf9613a/rep.611,model_setup/bethesda_slate/rf9613a/rep.611.Z,partial,971,5b52d539cadbf6a08c0f68783bc7ffe6457a9d92018bdf2e4100f7f7e2f97429,stage 1 unix_compress_lzw: partial: compress invalid code 841 with table end 680
data/decoded_model_outputs/rf9613a/rep.critical,model_setup/bethesda_slate/rf9613a/rep.critical.Z,partial,328,766020dbdfde2f02370a2fa48a06423aba2f06fdcb37f5ae5a58a522963f3b4b,stage 1 unix_compress_lzw: partial: compress invalid code 434 with table end 402
data/decoded_model_outputs/rf9613a/rep.sigstat,model_setup/bethesda_slate/rf9613a/rep.sigstat.Z,partial,101,fd01859252048e06f6614349a460c90ec7cec2c8f5e39a446d1f93e5974bd8f4,stage 1 unix_compress_lzw: partial: compress invalid code 323 with table end 321
data/decoded_model_outputs/rf9613a/rep.sumtime1,model_setup/bethesda_slate/rf9613a/rep.sumtime1.Z,complete,1220,7ac49e06623953049df22cead4fe4108b63bb37ff1b4c8a7c3baa0dcdf0c26d8,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
data/decoded_model_outputs/rf9613a/rep.turnpen,model_setup/bethesda_slate/rf9613a/rep.turnpen.Z,complete,481,6180cc31df7fe5d203decad3640a17efe67067c1c919610d51a57804fa18fcac,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
data/decoded_model_outputs/rf9613a/rep.turnvols,model_setup/bethesda_slate/rf9613a/rep.turnvols.Z,partial,2,61c05a0775d5dfcd77ea4a0601825b6ff10ebc5f16f805baca7f89b0eb3a18ca,stage 1 unix_compress_lzw: partial: compress invalid code 259 with table end 257
data/decoded_model_outputs/rf9613a/statistics,model_setup/bethesda_slate/rf9613a/statistics.Z,partial,1177,b8e16750ca8526303e12625502329175d5d36279766a3f1527f72974ca7f02df,stage 1 unix_compress_lzw: partial: compress invalid code 861 with table end 668
data/decoded_model_outputs/rf9613a/turnvols.in,model_setup/bethesda_slate/rf9613a/turnvols.in.Z,partial,1265,48b7ea6cea6296692ca2dcbfd647196682853a98023be64a99c8829785b56f71,stage 1 unix_compress_lzw: partial: compress invalid code 854 with table end 664
data/decoded_model_outputs/rf9618a/d231.in,model_setup/bethesda_slate/rf9618a/d231.in.Z,partial,2645,a1df7c4578c35b83df28ea1a8ec60d098f2f7fb66717c326de2b67e39dedf415,stage 1 unix_compress_lzw: partial: compress invalid code 1394 with table end 1023
data/decoded_model_outputs/rf9618a/d231.out,model_setup/bethesda_slate/rf9618a/d231.out.Z,partial,1273,bb0139cc6b9e39efda42907524cb081ca1d598e9c6e6834d6e5f9ae6e05929f9,stage 1 unix_compress_lzw: partial: compress invalid code 869 with table end 712
data/decoded_model_outputs/rf9618a/plt.vcr9618,model_setup/bethesda_slate/rf9618a/plt.vcr9618.Z,partial,133,c3080c7bc7f6ef7ad27d8718547aa9a07d3c2c600cf99e58e74125c5532b5ca1,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
data/decoded_model_outputs/rf9618a/rep.521dd,model_setup/bethesda_slate/rf9618a/rep.521dd.Z,partial,2328,9f5bac5e67d8c01721bb229c8acb6732c271e73bb61b9eb35282193a8a7fa54d,stage 1 unix_compress_lzw: partial: compress invalid code 1471 with table end 1159
data/decoded_model_outputs/rf9618a/rep.611,model_setup/bethesda_slate/rf9618a/rep.611.Z,partial,1063,453c60b7d252019a1649277be4e8efdff332de84f73952d2f29bfaa74e6cf263,stage 1 unix_compress_lzw: partial: compress invalid code 862 with table end 716
data/decoded_model_outputs/rf9618a/rep.critical,model_setup/bethesda_slate/rf9618a/rep.critical.Z,partial,14726,a0d403fb96fca8791259e48897b5ca5779b18d2a5c4844882cff57ed6d2a61ae,stage 1 unix_compress_lzw: partial: compress invalid code 3502 with table end 2891
data/decoded_model_outputs/rf9618a/rep.sigstat,model_setup/bethesda_slate/rf9618a/rep.sigstat.Z,partial,101,fd01859252048e06f6614349a460c90ec7cec2c8f5e39a446d1f93e5974bd8f4,stage 1 unix_compress_lzw: partial: compress invalid code 323 with table end 321
data/decoded_model_outputs/rf9618a/rep.sumtime1,model_setup/bethesda_slate/rf9618a/rep.sumtime1.Z,partial,895,256895ab8cb1c60536f52cefdc82ff970b58a726ba829ce72e73115a932c326f,stage 1 unix_compress_lzw: partial: compress invalid code 864 with table end 688
data/decoded_model_outputs/rf9618a/rep.turnpen,model_setup/bethesda_slate/rf9618a/rep.turnpen.Z,complete,1014,cbcdc73e3fed3229218f9e24767cf907fed515abbd6ab4822c23d6c70cc836d0,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
data/decoded_model_outputs/rf9618a/rep.turnvols,model_setup/bethesda_slate/rf9618a/rep.turnvols.Z,partial,2,61c05a0775d5dfcd77ea4a0601825b6ff10ebc5f16f805baca7f89b0eb3a18ca,stage 1 unix_compress_lzw: partial: compress invalid code 259 with table end 257
data/decoded_model_outputs/rf9618a/statistics,model_setup/bethesda_slate/rf9618a/statistics.Z,partial,1246,aa8904166225e81aba88bcdc4887e7b141a9538e4e776804059f5fbb0c1afae7,stage 1 unix_compress_lzw: partial: compress invalid code 851 with table end 680
data/decoded_model_outputs/rf9618a/turnvols.in,model_setup/bethesda_slate/rf9618a/turnvols.in.Z,partial,10319,124b25f7be8db429a3e0baae1666e4368ff7152a65a8c91cab767d9bc3f2df5b,stage 1 unix_compress_lzw: partial: compress invalid code 3390 with table end 2641
data/decoded_model_outputs/rf9619a/d231.in,model_setup/bethesda_slate/rf9619a/d231.in.Z,partial,4021,5323910d96430fac521f80fee5b02ed28ecad2a6fa2079d8be5e910fd062fb43,stage 1 unix_compress_lzw: partial: compress invalid code 1680 with table end 1346
data/decoded_model_outputs/rf9619a/d231.out,model_setup/bethesda_slate/rf9619a/d231.out.Z,partial,4004,eb884f8308308885df7dae1ef0808e52101c3a8f76c4e8aa71be4bd35b5f9fd0,stage 1 unix_compress_lzw: partial: compress invalid code 1396 with table end 1369
data/decoded_model_outputs/rf9619a/plt.diff1918,model_setup/bethesda_slate/rf9619a/plt.diff1918.Z,partial,2585,8a74515461978bcd928f3e28aa51aced2b86ae4efaacb57ca05bb92ba6247201,stage 1 unix_compress_lzw: partial: compress invalid code 1686 with table end 1610
data/decoded_model_outputs/rf9619a/plt.wis.9619,model_setup/bethesda_slate/rf9619a/plt.wis.9619.Z,partial,148,620d5d3bee1f2685860da463fb89c7d4e9b57ef2a197b8779feb9e9d979ab02c,stage 1 unix_compress_lzw: partial: compress invalid code 437 with table end 362
data/decoded_model_outputs/rf9619a/rep.521dd,model_setup/bethesda_slate/rf9619a/rep.521dd.Z,partial,3003,f24d4db3e31b17dc464073c9a46ad70c15907ec2e4eabed682cce98420cd94df,stage 1 unix_compress_lzw: partial: compress invalid code 1462 with table end 1415
data/decoded_model_outputs/rf9619a/rep.611,model_setup/bethesda_slate/rf9619a/rep.611.Z,partial,3074,cf283329ffe3f0b565562c939e0113c7eceba176021866def18015be1128cc83,stage 1 unix_compress_lzw: partial: compress invalid code 1643 with table end 1297
data/decoded_model_outputs/rf9619a/rep.critical,model_setup/bethesda_slate/rf9619a/rep.critical.Z,partial,9,0b7b39c8ffd6f3f61bb90d810d40dd9140b4118d622d4fedd1a2b4195b3f8dae,stage 1 unix_compress_lzw: partial: compress invalid code 313 with table end 263
data/decoded_model_outputs/rf9619a/rep.sigstat,model_setup/bethesda_slate/rf9619a/rep.sigstat.Z,partial,101,fd01859252048e06f6614349a460c90ec7cec2c8f5e39a446d1f93e5974bd8f4,stage 1 unix_compress_lzw: partial: compress invalid code 323 with table end 321
data/decoded_model_outputs/rf9619a/rep.sumtime1,model_setup/bethesda_slate/rf9619a/rep.sumtime1.Z,partial,895,256895ab8cb1c60536f52cefdc82ff970b58a726ba829ce72e73115a932c326f,stage 1 unix_compress_lzw: partial: compress invalid code 864 with table end 688
data/decoded_model_outputs/rf9619a/rep.turnpen,model_setup/bethesda_slate/rf9619a/rep.turnpen.Z,complete,1028,ee17a2ef0422028f82b57a26677cf06d80dae3171964e95e339d80e4055314b7,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
data/decoded_model_outputs/rf9619a/rep.turnvols,model_setup/bethesda_slate/rf9619a/rep.turnvols.Z,partial,2,61c05a0775d5dfcd77ea4a0601825b6ff10ebc5f16f805baca7f89b0eb3a18ca,stage 1 unix_compress_lzw: partial: compress invalid code 259 with table end 257
data/decoded_model_outputs/rf9619a/statistics,model_setup/bethesda_slate/rf9619a/statistics.Z,partial,1226,d81c33b845e85464df763921eefd3dc9abf775b0397d2f182b9e0ef2b32e5cc0,stage 1 unix_compress_lzw: partial: compress invalid code 852 with table end 680
data/decoded_model_outputs/rf9619a/turnvols.in,model_setup/bethesda_slate/rf9619a/turnvols.in.Z,partial,10621,b42902fabb36b40b4b7af9c23b512b5fd8dc52259273c81573e3df34887e6836,stage 1 unix_compress_lzw: partial: compress invalid code 3431 with table end 2697
data/decoded_model_outputs/rf9621a/d231.in,model_setup/bethesda_slate/rf9621a/d231.in.Z,partial,299,76648829496d3d729cbdb9924fd9aef086749b86de9b64b236271bb5ea927611,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 402
data/decoded_model_outputs/rf9621a/d231.out__from_z,model_setup/bethesda_slate/rf9621a/d231.out.z,partial,46863,82e44c7cf1545aed62c3d483deed68940defbfec80f27bbaf99885d5c9dbfa7c,"stage 1 unix_pack_static_huffman: partial: pack length mismatch: expected 165753, got 46863"
data/decoded_model_outputs/rf9621a/d231.out__from_Z_A,model_setup/bethesda_slate/rf9621a/d231.out.Z-A,partial,3796,82e44c7cf1545aed62c3d483deed68940defbfec80f27bbaf99885d5c9dbfa7c,stage 1 unix_compress_lzw: partial: compress invalid code 1710 with table end 1362
data/decoded_model_outputs/rf9621a/plt.diff2118,model_setup/bethesda_slate/rf9621a/plt.diff2118.Z-A,partial,2037,ae7b3afaa9a1c1b19ab300f2f9238e6879fd811601da93c4db5fda61b59a014f,stage 1 unix_compress_lzw: partial: compress invalid code 1746 with table end 1362
data/decoded_model_outputs/rf9621a/plt.vcr9621,model_setup/bethesda_slate/rf9621a/plt.vcr9621.Z,partial,133,c3080c7bc7f6ef7ad27d8718547aa9a07d3c2c600cf99e58e74125c5532b5ca1,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
data/decoded_model_outputs/rf9621a/rep.521dd,model_setup/bethesda_slate/rf9621a/rep.521dd.z,partial,29281,1255af8c85ff7c45a2a2a1cce4679cfd26855a02582d490c30795094c29c7308,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 29280, got 29281"
data/decoded_model_outputs/rf9621a/rep.611,model_setup/bethesda_slate/rf9621a/rep.611.z,partial,417526,eba9062a71d17fb2405c561915dc35cfbe79a7d9058ab07c365f92fca615c609,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 417525, got 417526"
data/decoded_model_outputs/rf9621a/rep.critical,model_setup/bethesda_slate/rf9621a/rep.critical.z,partial,24437,f5e12cd5a6cb2c862201c0d762d40a7d0da1af6163eb897b0356b4d7f2adc7bc,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 24436, got 24437"
data/decoded_model_outputs/rf9621a/rep.sigstat,model_setup/bethesda_slate/rf9621a/rep.sigstat.z,partial,271752,eddd4ad932ecfa4fa16b6dd3e63459ec4d4026500fd73a767595a57fb12cffa6,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 271751, got 271752"
data/decoded_model_outputs/rf9621a/turnvols.in,model_setup/bethesda_slate/rf9621a/turnvols.in.z,partial,44692,0cd538e15d2f1b57829dd250830aed139e7e187ccc9fcf1fddd1eef7c0fd4aa8,"stage 1 unix_pack_static_huffman: partial: pack length mismatch: expected 77560, got 44692"
data/decoded_model_outputs/rf9622a/d231.out,model_setup/bethesda_slate/rf9622a/d231.out.z,partial,11153,7e0673c2df7f10bd678f2f5d7bb872aed3d8ba5d9c22165861bf4b4ce22408e7,"stage 1 unix_pack_static_huffman: partial: pack length mismatch: expected 164871, got 11153"
data/decoded_model_outputs/rf9622a/plt.vcr9622,model_setup/bethesda_slate/rf9622a/plt.vcr9622.Z,partial,133,c3080c7bc7f6ef7ad27d8718547aa9a07d3c2c600cf99e58e74125c5532b5ca1,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
data/decoded_model_outputs/rf9622a/rep.521dd,model_setup/bethesda_slate/rf9622a/rep.521dd.z,partial,29431,263eaf376607fd35c78e73a5504281b714201b262cfc32d652fbd42bf3e0b5de,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 29430, got 29431"
data/decoded_model_outputs/rf9622a/rep.611,model_setup/bethesda_slate/rf9622a/rep.611.z,partial,417166,437ae2aa63782e09297b5116555d0ad138275271deecb6fe63bcfd1fd016f753,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 417165, got 417166"
data/decoded_model_outputs/rf9622a/rep.critical,model_setup/bethesda_slate/rf9622a/rep.critical.z,partial,24437,c2f3684cf3e42937696cd3bc76488ca4442b8f45022ebf2674787412582dcd90,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 24436, got 24437"
data/decoded_model_outputs/rf9622a/rep.sigstat,model_setup/bethesda_slate/rf9622a/rep.sigstat.z,partial,270660,687239254317f9777aa9e8499fb4908e8947909aeaa322167f6dcacebb1aee69,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 270659, got 270660"
data/decoded_model_outputs/rf9622a/rep.turnpen,model_setup/bethesda_slate/rf9622a/rep.turnpen.z,partial,2220,8c269f4a54e7200074c6513b71ead623c2054f14ae2262385eb4b1ec0e458cb7,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 2219, got 2220"
data/decoded_model_outputs/rf9622a/rep.turnvols,model_setup/bethesda_slate/rf9622a/rep.turnvols.z,partial,20034,e529ea4b967e9664c7e852c88e9f44583690aa5cdca1dd99cc1207573155b982,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 20033, got 20034"
data/decoded_model_outputs/rf9622a/turnvols.in,model_setup/bethesda_slate/rf9622a/turnvols.in.z,partial,76952,83a6aa6c4d0f385f498afb0a64fbf8ff6cb28fbde4e0ba14dcf8beb749d3940d,"stage 1 unix_pack_static_huffman: partial: pack length mismatch: expected 77112, got 76952"
data/decoded_model_outputs/rf9623a/d231.out,model_setup/bethesda_slate/rf9623a/d231.out.z,partial,12089,47bbdc1e0f175e31c4e7ef3796c5c396a98efe7a24c76499b9c092a652fc5b96,"stage 1 unix_pack_static_huffman: partial: pack length mismatch: expected 166446, got 12089"
data/decoded_model_outputs/rf9623a/plt.vcr9623,model_setup/bethesda_slate/rf9623a/plt.vcr9623.Z,partial,133,c3080c7bc7f6ef7ad27d8718547aa9a07d3c2c600cf99e58e74125c5532b5ca1,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
data/decoded_model_outputs/rf9623a/plt.wis.9623,model_setup/bethesda_slate/rf9623a/plt.wis.9623.z,partial,388267,2eff92b35774af1caef37977a4ed08b384ef4288a2bf6ca566c19d98531f3ef2,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 388266, got 388267"
data/decoded_model_outputs/rf9623a/rep.611,model_setup/bethesda_slate/rf9623a/rep.611.z,partial,417670,2bb7425654aabd941da7ae9f53dc27bb8d4fc5c505a07b825b4b21161af3b945,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 417669, got 417670"
data/decoded_model_outputs/rf9623a/rep.sigstat__from_z,model_setup/bethesda_slate/rf9623a/rep.sigstat.z,partial,272833,fd01859252048e06f6614349a460c90ec7cec2c8f5e39a446d1f93e5974bd8f4,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 272832, got 272833"
data/decoded_model_outputs/rf9623a/rep.sigstat__from_Z_A,model_setup/bethesda_slate/rf9623a/rep.sigstat.Z-A,partial,101,fd01859252048e06f6614349a460c90ec7cec2c8f5e39a446d1f93e5974bd8f4,stage 1 unix_compress_lzw: partial: compress invalid code 323 with table end 321
data/decoded_model_outputs/rf9623a/rep.turnvols,model_setup/bethesda_slate/rf9623a/rep.turnvols.z,partial,20101,044a632a9027c1993ff61d4cc2c7ca1ad3678af55dc05fde18c865c144e9f180,"stage 1 unix_pack_static_huffman: partial: pack exceeded expected length before EOB: expected 20100, got 20101"
data/decoded_model_outputs/rf9623a/statistics,model_setup/bethesda_slate/rf9623a/statistics.z,complete,1455,072f6dc804fcd864f1f626cff59acf8ee0f4b2b99d53894c291d270a4c019972,stage 1 unix_pack_static_huffman: complete: pack EOB reached and expected length matched | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
data/decoded_model_outputs/rf9623a/turnvols.in,model_setup/bethesda_slate/rf9623a/turnvols.in.z,partial,77556,bb13ee8882ad499c2045cb803f5c0c21133235bb8ad20ab0791c2e4db244c5d0,"stage 1 unix_pack_static_huffman: partial: pack length mismatch: expected 77728, got 77556"
data/decoded_model_outputs/rf9624a/d231.in,model_setup/bethesda_slate/rf9624a/d231.in.Z-A,partial,10769,84dff97c0f164a1082a5a347af0badac6e2b133f0fe111ccee48c528fb3ea956,stage 1 unix_compress_lzw: partial: compress invalid code 3490 with table end 2733
data/decoded_model_outputs/rf9624a/d231.out__from_z,model_setup/bethesda_slate/rf9624a/d231.out.z,partial,53918,d7aec494625ceaedeb464b76da9dbfa6a6967e5d0c84065cf8d707ec45a1db90,"stage 1 unix_pack_static_huffman: partial: pack length mismatch: expected 165942, got 53918"
data/decoded_model_outputs/rf9624a/d231.out__from_Z_A,model_setup/bethesda_slate/rf9624a/d231.out.Z-A,partial,1637,d7aec494625ceaedeb464b76da9dbfa6a6967e5d0c84065cf8d707ec45a1db90,stage 1 unix_compress_lzw: partial: compress invalid code 893 with table end 824
